#,Publication Date (Month Year),Study region,Author Lead,Title,Link
1,23-Aug,Fiji,Ashwini R Malipatil,Investigation and Monitoring Deforestation by Evaluating the Satellite Images and Machine Learning,https://ieeexplore.ieee.org/document/10199460/keywords#keywords
2,23-Jul,Southeast Asia,Yang Feng,Improved fine-scale tropical forest cover mapping for Southeast Asia using Planet-NICFI and Sentinel-1 imagery,https://spj.science.org/doi/pdf/10.34133/remotesensing.0064
3,23-Jul,,Lily Xu,Reflections from the Workshop on AI-Assisted Decision Making for Conservation,https://arxiv.org/pdf/2307.08774.pdf
4,23-Aug,,Kelsey E. Herndon,Google Earth Engine for archaeologists: An updated look at the progress and promise of remotely sensed big data,https://www.sciencedirect.com/science/article/pii/S2352409X23002699
5,23-Jul,Brazil,Édson Luis Bolfe,Mapping Agricultural Intensification in the Brazilian Savanna: A Machine Learning Approach Using Harmonized Data from Landsat Sentinel-2,https://www.mdpi.com/2220-9964/12/7/263
6,23-Jun,Southeast Asia; South Asia; the Pacific Islands; West Africa; Central Africa; the Americas ,You Xu,High-resolution global mature and young oil palm plantation subclass maps for 2020,https://www.tandfonline.com/doi/pdf/10.1080/17538947.2023.2220612
7,23-Sep,Surinam; Republic of Congo; Democratic Republic of Congo,Bart Slagter, Monitoring direct drivers of small-scale tropical forest disturbance in near real-time with Sentinel-1 and -2 data,https://www.sciencedirect.com/science/article/pii/S0034425723002067#s0010
8,23-Jun,Tanzania,Sami Madundo,Comparison of multi-source remote sensing data for estimating and mapping above-ground biomass in the West Usambara tropical montane forests,https://www.sciencedirect.com/science/article/pii/S2468227623002193
9,23-Apr,Brazil,Carlos Roberto Mangussi Filho,The Accuracy of Land Use and Cover Mapping across Time in Environmental Disaster Zones: The Case of the B1 Tailings Dam Rupture in Brumadinho; Brazil,https://www.mdpi.com/2071-1050/15/8/6949
10,23-Apr,Colombia,John Josephraj Selvaraj,"An enhanced approach to mangrove forest analysis in the Colombian Pacific coast using optical and SAR data in Google Earth Engine",https://www.sciencedirect.com/science/article/abs/pii/S2352938523000204
11,22-May,sub-Saharan Africa,Amandine Debus,Using deep learning and newly open-access high-resolution data from PlanetScope to detect the specific drivers of deforestation in sub-Saharan Africa: opportunities and challenges,
12,22-Jun,Amazon,Caio Arlanche Petri,Solar illumination effects on the dry-season variability of spectral and spatial attributes calculated from PlanetScope data over tropical forests of the Amazon,https://www.tandfonline.com/doi/full/10.1080/01431161.2022.2106801
13,22-Nov,India,Sherrie Wang,Unlocking Large-Scale Crop Field Delineation in Smallholder Farming Systems with Transfer Learning and Weak Supervision,https://www.mdpi.com/2072-4292/14/22/5738
14,23-Apr,Democratic Republic of the Congo,Casey Slaught,Cloud-Based Remote Sensing for Conservation,https://dukespace.lib.duke.edu/dspace/bitstream/handle/10161/27155/Casey%20Slaught%20-%20MP%20Report%20Final.pdf?sequence=1
15,23-May,Africa,Lei Song,Combining Spatially-Explicit Simulation of Animal Movement and Earth Observation to Reconcile Agriculture and Wildlife Conservation - ProQuest,https://www.proquest.com/openview/d7a28e2a19a51c7eb73d10b201331686/1?pq-origsite=gscholar&cbl=18750&diss=y
16,22-Dec,Brazil,Diogo Nunes  Gonçalves,Transformers for mapping burned areas in Brazilian Pantanal and Amazon with PlanetScope imagery,https://www.sciencedirect.com/science/article/pii/S1569843222003399?via%3Dihub
17,21-Dec,Central America,Emil Cherrington,Implications of the Golden Age of Remote Sensing on Earth Observation Applications in Central America,https://ui.adsabs.harvard.edu/abs/2021AGUFMSY34A..02C/abstract
18,23-Feb,Seychelles,Chengfa Benjamin Lee,See Seagrass from Space: From Analysis-Ready PlanetScope Satellite Imagery to Nationwide Seagrass Maps for the Nationally Determined Contributions of Seychelles,https://meetingorganizer.copernicus.org/EGU23/EGU23-12753.html
19,23-Apr,Colombia,and IUCN-NL AidEnvironment,Uncovering the supply chain palm oil from Colombia to the EU,
20,23-Mar,Congo Basin,Anne-Juul Welsink,Towards the use of satellite-based tropical forest disturbance alerts to assess selective logging intensities,https://iopscience.iop.org/article/10.1088/1748-9326/acd018/pdf
21,23-Apr,Southeast Asia,Yang Feng,Refined mapping of tree cover at fine-scale using time-series Planet-NICFI and Sentinel-1 imagery for Southeast Asia (2016–2021),https://essd.copernicus.org/preprints/essd-2023-143/
22,23-Jul,Global,Romain Pirard,Estimations of REDD+ opportunity costs: Aligning methods with objectives,https://www.sciencedirect.com/science/article/abs/pii/S1462901123000977
23,23-Apr,Brazil,Paulino Rejane S.,MAPPING THE HYDROLOGICAL CONNECTIVITY OF FLOODPLAIN LAKES USING PLANET MOSAICS: AN EXPLORATORY ANALYSIS,https://proceedings.science/sbsr-2023/papers/mapping-the-hydrological-connectivity-of-floodplain-lakes-using-planet-mosaics-a?lang=en
24,23-Apr,Brazil,Ricardo Dalagnol,QUANTIFYING CARBON LOSS AT FORESTS DEGRADED BY LOGGING WITH REPEATED AIRBORNE LIDAR DATA IN THE BRAZILIAN AMAZON,https://proceedings.science/sbsr-2023/papers/quantifying-carbon-loss-at-forests-degraded-by-logging-with-repeated-airborne-li?lang=en#
25,23-Feb,Colombia,Jhon Eric Aunta Duarte,USING SENTINEL-1 TIME SERIES FOR MONITORING DEFORESTATION IN REGIONS WITH HIGH PRECIPITATION RATE,https://run.unl.pt/bitstream/10362/150968/1/TGEO280.pdf
26,23-Mar,,Catherine Nakalembe,Considerations for AI-EO for agriculture in Sub-Saharan Africa,https://iopscience.iop.org/article/10.1088/1748-9326/acc476
27,23-Feb,,H. Gijs J. Van den Dool,Satellite data as a predictor for monitoring tree health and stress in reforestation projects,https://meetingorganizer.copernicus.org/EGU23/EGU23-13481.html
28,20-Jan,Brazil,William Høie,The Brazil-Norway Amazon agreement: A game-theoretic analysis,https://www.duo.uio.no/bitstream/handle/10852/80081/7/Master-William-H-ie.pdf
29,20-Jan,,David Brown,A multiscalar and justice-led analysis of REDD+: a case study of the Norwegianâ€“Ethiopian partnership,https://ideas.repec.org/a/tpr/glenvp/v20y2020i1p11-37.html
30,20-Oct,Indonesia,N. Haeda,Indonesia-Norway cooperation in reducing emission from deforestation and degradation framework: a case study of Central Kalimantan forest,https://iopscience.iop.org/article/10.1088/1755-1315/575/1/012155
31,21-Jan,Fiji,Swan Mark ,Machine Learning for Monitoring Forest Restoration,https://project-archive.inf.ed.ac.uk/ug4/20212136/ug4_proj.pdf
32,21-Feb,Global,Tor A. Benjaminsen,Climate Mitigation Choices: Reducing Deforestation in the Global South Versus Reducing Fossil Fuel Production at Home,https://link.springer.com/chapter/10.1007/978-3-030-56036-2_6
33,21-Oct,Thailand,Poortinga Ate,Mapping sugarcane in Thailand using transfer learning; a lightweight convolutional neural network; NICFI high resolution satellite imagery and Google Earth Engine,https://doi.org/10.1016/j.ophoto.2021.100003
34,21-Dec,Africa; Sahel region,Tong Xiaoye,Mapping Sahelian Cropland at Active and Fallow Field Level With NICFI Planet Basemap,https://agu.confex.com/agu/fm21/meetingapp.cgi/Paper/931516
35,21-Dec,Nigeria,Ali Hanan Abou,A Deep Learning Approach to Agricultural Field Delineation in Nigeria,https://agu.confex.com/agu/fm21/meetingapp.cgi/Paper/877633
36,21-Dec,Global,Roy Samapriya,High-Res for Tropical Forests: The NICFI Data Program,https://agu.confex.com/agu/fm21/meetingapp.cgi/Paper/970904
37,21-Dec,Thailand,Soe Thwal Nyein,Transfer Learning Approach for Sugarcane Mapping in Thailand with NICFI High-resolution Satellite Imagery leveraging Google Earth Engine,https://agu.confex.com/agu/fm21/meetingapp.cgi/Paper/926831
38,21-Dec,Brazil,Pacheco Flávia  Domingos,Image Classification Methods Assessment for Identification of Small-Scale Agriculture in Brazilian Amazon,https://www.thinkmind.org/articles/geoprocessing_2021_1_40_30034.pdf
39,22-Jan,Colombia,Sergio Mauricio Molano,Evaluación del retroceso glaciar de la Sierra Nevada del Cocuy; Colombia a partir de la clasificación de imágenes multisensor,http://www.scielo.org.co/scielo.php?script=sci_abstract&pid=S0120-02832022000100049&lng=en&nrm=iso&tlng=es
40,22-Mar,Peru; Gabon,Chiara Aquino,Mapping small-scale tropical forest disturbances using SAR and optical satellite imagery,https://era.ed.ac.uk/handle/1842/40446
41,22-Feb,Peru,Chiara Aquino,Detecting Tropical Forest Degradation Using Optical Satellite Data: An Experiment in Peru Show Texture at 3 M Gives Best Results,https://www.preprints.org/manuscript/202202.0141/v1
42,22-Feb,Tanzania,E. W. Mauya,Modelling Above Ground Biomass Using Sentinel 2 and Planet Scope Data in Dense Tropical Montane Forests of Tanzania,https://www.ajol.info/index.php/tjfnc/article/view/221552
43,22-Feb,Ghana,Lyndon  Estes,High Resolution; Annual Maps of Field Boundaries for Smallholder-Dominated Croplands at National Scales,https://doi.org/10.3389/frai.2021.744863
44,22-Mar,Mozambique; sub-Saharan Africa,Philippe Rufin,An operational framework for large-area mapping of active cropland and short-term fallows in smallholder landscapes using PlanetScope data,https://eartharxiv.org/repository/view/3174/
45,22-Apr,Barbuda,Andreas Rienow,Detecting land use and land cover change on Barbuda before and after the Hurricane Irma with respect to potential land grabbing: A combined volunteered geographic information and multi sensor approach,https://www.sciencedirect.com/science/article/pii/S0303243422000587
46,22-Apr,Ethiopia,Woubet G. Alemu,Desert Locust Cropland Damage Differentiated from Drought; with Multi-Source Remote Sensing in Ethiopia,https://www.mdpi.com/2072-4292/14/7/1723
47,22-Apr,Africa,Abdulhakim M. Abdi,Satellite Remote Sensing of Savannas: Current Status and Emerging Opportunities,https://spj.sciencemag.org/journals/remotesensing/2022/9835284/
48,22-May,Brazil,Johannes N. Hansen,Detecting Deforestation from Sentinel-1 Data in the Absence of Reliable Reference Data,https://www.researchgate.net/publication/360833843_Detecting_Deforestation_from_Sentinel-1_Data_in_the_Absence_of_Reliable_Reference_Data
49,22-May,Ghana,Jacob C. Abramowitz,Differentiating oil palm plantations from natural forest to improve land cover mapping in Ghana,https://louis.uah.edu/cgi/viewcontent.cgi?article=1376&context=uah-theses
50,22-May,Brazil,AdriÃ¡n Pascual,High-resolution planet satellite imagery and multi-temporal surveys to predict risk of tree mortality in tropical eucalypt forestry,https://pubmed.ncbi.nlm.nih.gov/35240567/
51,22-May,Africa; Sahel region,Tong Xiaoye,Mapping Sahelian Cropland With NICFI Planet Basemap,
52,22-May,Amazon; Congo Basin; and West-Papua,Anne-Jul   Welsink,Sentinel-based forest disturbance alerts to map selective logging intensities in the tropics,
53,22-May,Mozambique; sub-Saharan Africa,Philippe Rufin,Leveraging novel opportunities for operationalizing annual cropland mapping in smallholder systems of Sub-Saharan Africa: Analyzing NICFI PlanetScope mosaic time series in Google Earth Engine,
54,22-May,Brazil,Marco Vizzari,PlanetScope; Sentinel-2; and Sentinel-1 Data Integration for Object-Based Land Cover Classification in Google Earth Engine,https://www.mdpi.com/2072-4292/14/11/2628
55,22-Jun,Brazil,V. Yordanov,Deforestation mapping using Sentinel-1 and object-based random forest classification on Google Earth Engine,https://www.researchgate.net/publication/352863684_DEFORESTATION_MAPPING_USING_SENTINEL-1_AND_OBJECT-BASED_RANDOM_FOREST_CLASSIFICATION_ON_GOOGLE_EARTH_ENGINE
56,22-Jun,Global,Shrijwal Adhikari,Planning for Sustainable Cities in Africa: Experiences; Challenges and Prospects of Monitoring Geospatial Indicators,https://www.mdpi.com/2072-4292/14/12/2821
57,22-Jun,Brazil,Ryu Sugimoto,Deforestation detection using scattering power decomposition and optimal averaging of volume scattering power in tropical rainforest regions,https://www.sciencedirect.com/science/article/pii/S0034425722001328
58,22-Jun,Global,J Wasala,AutoSR-RS: an AutoML Approach to Super-Resolution for Remote Sensing,https://theses.liacs.nl/2313
59,22-Jul,South Africa,Kwame T. Awuah,Fusion of Sentinel-2 Data with High Resolution Open Access Planet Basemaps for Grazing Lawn Detection in Southern African Savannahs,https://www.researchgate.net/publication/355277271_Fusion_of_Sentinel-2_Data_with_High_Resolution_Open_Access_Planet_Basemaps_for_Grazing_Lawn_Detection_in_Southern_African_Savannahs
60,22-Jul,Africa,Florian Reiner,More than one quarter of Africa's tree cover foundoutside areas previously classied as forest,https://www.researchgate.net/publication/363369744_More_than_one_quarter_of_Africa's_tree_cover_found_outside_areas_previously_classified_as_forest
61,22-Jul,Africa,Florian Reiner,A consistent assessment of trees inside and outside forests improves estimates of total tree cover in Africa,https://europepmc.org/article/ppr/ppr515097
62,22-Aug,Mozambique; sub-Saharan Africa,Philippe Rufin,Large-area mapping of active cropland and short-term fallows in smallholder landscapes using PlanetScope data,https://www.sciencedirect.com/science/article/pii/S1569843222001340
63,22-Aug,Ethiopia,Bamud Shafi Deselsebo,A Remotely Sensed Based Comparison of Three Area Stratification Methods to Improve Estimation of Crop Area Statistics; A Case Study in Fragmented Landscapes of Ethiopia,http://essay.utwente.nl/92884/1/Bamud_MGEO.pdff
64,22-Aug,Seychelles,Benjamin Chengfa,"Nationwide seagrass mapping using analysis-ready Sentinel-2 and PlanetScope data to support the Nationally Determined Contributions of Seychelles",https://elib.dlr.de/188097/
65,22-Sep,Congo Basin,Aurélie Shapiro,Are deforestation and degradation in the Congo Basin on the rise? An analysis of recent trends and associated direct drivers.,https://assets.researchsquare.com/files/rs-2018689/v1_covered.pdf?c=1662591113
66,22-Sep,Global,M. M. Bennett,Improving Satellite Monitoring of Armed Conflicts,https://onlinelibrary.wiley.com/doi/abs/10.1029/2022EF002904
67,22-Sep,Brazil,Fabien H. Wagner,K-textures; a self-supervised hard clustering deep learning algorithm for satellite image segmentation,https://www.frontiersin.org/articles/10.3389/fenvs.2022.946729
68,22-Oct,Ecuador,Valerie Graw,Regressive Erosion at River Coca in Northeast Ecuador: Landslide Monitoring with Sentinel-1 to Support Disaster Risk Management,https://link.springer.com/article/10.1007/s41064-022-00221-z
69,22-Nov,Argentina; Uruguay; Brazil,S Baeza,Two decades of land cover mapping in the Río de la Plata grassland region: The MapBiomas Pampa initiative,https://www.sciencedirect.com/science/article/abs/pii/S2352938522001422#preview-section-references
70,22-Nov,Brazil,Fabien H  Wagner,Mapping Tropical Forest Cover and Deforestation with Planet NICFI Satellite Images and Deep Learning in Mato Grosso State from 2015 to 2021,https://www.mdpi.com/2072-4292/15/2/521
71,22-Dec,India,Ying Zuo,Pan-India Land Use Land Cover Deep Learning Aided Classification Using NICFI Products,https://agu2022fallmeeting-agu.ipostersessions.com/Default.aspx?s=AC-74-33-F5-94-2E-81-5E-C0-FF-E1-E9-B7-93-56-22
72,22-Dec,Ghana,Foster Kwame Mensah,THE LIVELIHOOD-FOREST CONSERVATION DICHOTOMY: ARTISANAL GOLD MINING AND FOREST DEGRADATION IN GHANA,https://agu.confex.com/agu/fm22/meetingapp.cgi/Paper/1146947
73,22-Dec,Costa Rica; Honduras; Guatemala,Elise Arellano-Thompson,Towards Mapping Clandestine Infrastructure in Central America’s Protected Areas Affected By Narco-trafficking Using Multi-sensor Data Fusion and Deep Learning,https://agu.confex.com/agu/fm22/meetingapp.cgi/Paper/1096530
74,22-Dec,Seychelles,Chengfa Benjamin Lee,Nationwide Seagrass Mapping Using Analysis-Ready PlanetScope Data to Support the Nationally Determined Contributions of Seychelles,https://elib.dlr.de/193065/1/AGU_poster.pdf
75,22-Dec,Global,Alexandra Tyukavina,PlanetScope and Sentinel-2 Data to Quantify the Extent and Drivers of Global Forest Loss: Sample-Based Analysis,https://agu.confex.com/agu/fm22/meetingapp.cgi/Paper/1046341
76,22-Dec,Brazil,Ricardo Dalagnol,Mapping Tropical Forest Degradation using High-Resolution Planet NICFI Satellite Imagery and Deep Learning,https://agu.confex.com/agu/fm22/meetingapp.cgi/Paper/1064175
77,22-Dec,Brazil,Fabien H. Wagner,Mapping Tropical Forest Tree Cover and Deforestation with NICFI Planet Imagery and Deep Learning,https://agu.confex.com/agu/fm22/meetingapp.cgi/Paper/1059934
78,22-Dec,Brazil,Milena Andrade,MULTI-SENSOR TECHNIQUES TO FLOOD MAPPING: THE ACRE STUDY CASE (AMAZON; BRAZIL),https://periodicos.ufam.edu.br/index.php/revista-geonorte/article/view/10517
79,22-Dec,South Africa,Dadirai Matarira,Object-Based Informal Settlement Mapping in Google Earth Engine Using the Integration of Sentinel-1; Sentinel-2; and PlanetScope Satellite Data,https://www.mdpi.com/2073-445X/12/1/99
80,22-Sep,Ethiopia,Robert N. Masolele,Using high-resolution imagery and deep learning to classify land-use following deforestation: a case study in Ethiopia,https://www.tandfonline.com/doi/pdf/10.1080/15481603.2022.2115619
81,23-Jan,Amazon rainforest,Juan Doblas Prieto,Inter-comparison of optical and SAR-based forest disturbance warning systems in the Amazon shows the potential of combined SAR-optical monitoring,https://www.tandfonline.com/doi/abs/10.1080/01431161.2022.2157684
82,23-Jan,Brazil,Alynne Almeida  Affonso,A Comparison between Supervised Classification Methods: Study Case on Land Cover Change Detection Caused by a Hydroelectric Complex Installation in the Brazilian Amazon,https://www.mdpi.com/2071-1050/15/2/1309
83,23-Feb,Tanzania,Lei Song,A super-ensemble approach to map land cover types with high resolution over data-sparse African savanna landscapes,https://www.sciencedirect.com/science/article/pii/S1569843222003405
84,22-Nov,Indonesia,Ryan Guild,Tracking Deforestation; Drought; and Fire Occurrence in Kutai National Park; Indonesia,https://www.mdpi.com/2072-4292/14/22/5630
85,23-Feb,South Africa,Dadirai  Matarira,Characterizing Informal Settlement Dynamics Using Google Earth Engine and Intensity Analysis in Durban Metropolitan Area; South Africa: Linking Pattern to Process,https://www.mdpi.com/2071-1050/15/3/2724
86,23-Feb,Brazil; Indonesia; Republic of the Congo,Ryu Sugimoto,Extension of Scattering Power Decomposition to Dual-Polarization Data for Tropical Forest Monitoring ,https://www.mdpi.com/2072-4292/15/3/839
87,,Peru,Edward Mitchard,Using high resolution Planet data to map tree mortality across tropical forests,
88,23-Feb,Brazil,Pinagé Ekena Rangel,Effects of forest degradation classification on the uncertainty of aboveground carbon estimates in the Amazon,https://link.springer.com/article/10.1186/s13021-023-00221-5
89,23-Feb,South Africa,Mcebisi Qabaqaba,Integrating random forest and synthetic aperture radar improves the estimation and monitoring of woody cover in indigenous forests of South Africa,https://link.springer.com/article/10.1007/s12518-023-00497-9
90,23-Mar,Brazil,Edson Eyji Sano,Estimating Double Cropping Plantations in the Brazilian Cerrado through PlanetScope Monthly Mosaics,https://www.mdpi.com/2073-445X/12/3/581
91,23-Aug,Kenya,Stefanie Mehlich,The role of the anthropogenic fire regime in protected areas in Kenya : a case study in the Mau Forest region Kenya : a case study in the Mau Forest region,https://louis.uah.edu/cgi/viewcontent.cgi?article=1530&context=uah-theses
